A=8152 B=5866 C=6438 X=962352871 Y=4491528707 Z=15464265843 M=7249
A=7282 B=8217 C=5311 X=432370501 Y=7987177803 Z=64685465884 M=6886
A=5249 B=5741 C=7409 X=771113278 Y=9298266196 Z=91171667565 M=1540
A=3633 B=6621 C=7128 X=382295831 Y=5702392607 Z=76433394426 M=5995
A=4430 B=6255 C=8613 X=605568202 Y=2732998525 Z=21300912594 M=9639
A=6033 B=7368 C=7242 X=991503311 Y=1504712459 Z=17774308729 M=5754
A=9742 B=5684 C=7967 X=508747815 Y=4221057387 Z=82636011784 M=9739
A=2492 B=8678 C=5195 X=993750767 Y=3216431077 Z=30898190963 M=2144
A=4934 B=4435 C=8278 X=393959633 Y=3774483756 Z=72680833752 M=2594
A=3620 B=8852 C=7487 X=226034912 Y=7168743364 Z=88200045832 M=6545
A=2240 B=8412 C=5306 X=370722330 Y=8590035904 Z=74053038445 M=2908
A=2505 B=5237 C=5098 X=705726746 Y=8196829515 Z=11412288396 M=4918
A=4162 B=7471 C=9332 X=252802986 Y=8113166674 Z=96621617263 M=2221
A=2065 B=5165 C=6897 X=310233270 Y=1061957661 Z=25573086211 M=1733
A=7261 B=8583 C=9724 X=165582059 Y=9015336069 Z=25485429472 M=9760
A=7175 B=7753 C=5180 X=840591217 Y=9283171775 Z=33427511202 M=6917
A=4190 B=7127 C=7882 X=294413418 Y=1218730401 Z=44522992614 M=3029
A=4524 B=8808 C=8277 X=135683113 Y=8249639901 Z=13749713321 M=5533
A=7319 B=6750 C=6061 X=446272563 Y=3258761536 Z=56631137532 M=1741
A=9600 B=3381 C=8514 X=523597474 Y=8541149369 Z=97644601416 M=8021
A=4498 B=3909 C=9139 X=815264933 Y=6009994708 Z=72894466788 M=5263
A=8962 B=6573 C=9463 X=927368834 Y=7783819541 Z=18036994959 M=8118
A=2422 B=5108 C=6640 X=145176772 Y=2222332523 Z=46241588303 M=2972
A=4751 B=5864 C=5551 X=152427320 Y=6338270068 Z=92054573039 M=1441
A=3660 B=4756 C=9777 X=181776060 Y=9742787972 Z=12476812378 M=6468
A=9163 B=4891 C=6496 X=401570968 Y=3240710643 Z=62413802863 M=6793
A=5543 B=4259 C=8974 X=247267746 Y=8428011211 Z=62142877513 M=4915
A=9973 B=8311 C=5367 X=611484797 Y=5690150181 Z=21396784675 M=3217
A=5177 B=6543 C=6271 X=162524494 Y=4457986333 Z=65519367940 M=9510
A=2184 B=8097 C=9340 X=468287538 Y=6647048593 Z=76588445678 M=7148
A=7622 B=7767 C=6551 X=879611852 Y=7651675915 Z=96610412144 M=2597
A=2064 B=9733 C=8080 X=767585408 Y=6566258481 Z=68130644590 M=6772
A=6288 B=7818 C=6075 X=993020552 Y=4379255963 Z=71221963779 M=3368
A=8030 B=9192 C=7644 X=897621368 Y=4773722453 Z=46587921672 M=5299
A=3266 B=3242 C=5901 X=806100190 Y=6307139692 Z=24181603139 M=7577
A=3668 B=3078 C=9696 X=892867312 Y=3783191721 Z=36118130054 M=8088
A=8344 B=5015 C=9773 X=803322938 Y=3037837569 Z=38115086071 M=4710
A=8136 B=3169 C=9930 X=292699408 Y=3208016226 Z=42191995528 M=2628
A=4696 B=5205 C=5184 X=137511567 Y=6302541083 Z=92336722475 M=3998
A=8024 B=4358 C=8299 X=383037130 Y=9490581942 Z=57321356825 M=5061
A=4372 B=5310 C=7485 X=374846619 Y=3696798228 Z=43642805219 M=5165
A=8658 B=4705 C=7574 X=805538712 Y=5211386918 Z=88237678001 M=3519
A=6867 B=4946 C=8512 X=883321020 Y=3803744719 Z=63682073103 M=3679
A=2176 B=5600 C=5252 X=408102085 Y=4238213775 Z=43206273458 M=4253
A=6798 B=7552 C=5039 X=629305717 Y=3036399156 Z=81536698990 M=7715
A=7109 B=4008 C=7293 X=335451553 Y=6590058170 Z=78037459582 M=4358
A=2650 B=4710 C=5077 X=247890273 Y=1209347966 Z=32980075644 M=4656
A=9449 B=5810 C=9465 X=953464665 Y=2929920345 Z=14489211848 M=7896
A=5428 B=9818 C=5447 X=887643556 Y=1849379826 Z=23805882816 M=2870
A=3945 B=5731 C=9409 X=240430559 Y=5962446746 Z=25256144579 M=1491
A=5431 B=5769 C=9896 X=102250453 Y=8678787418 Z=15432618640 M=1212
A=4046 B=4297 C=5332 X=946939895 Y=1296037618 Z=93471701078 M=7092
A=9473 B=8102 C=8878 X=438722625 Y=3642870965 Z=95308078278 M=8972
A=7931 B=7080 C=9238 X=446893727 Y=2623435773 Z=81774487339 M=8699
A=6965 B=8437 C=6455 X=953276702 Y=8127710939 Z=82180358576 M=7556
A=2211 B=8952 C=5722 X=510902931 Y=2625730924 Z=85253477623 M=5664
A=5013 B=3045 C=7128 X=536624288 Y=8444528802 Z=50173053337 M=9271
A=5523 B=8585 C=7963 X=515520242 Y=1670458816 Z=56083216715 M=8347
A=7506 B=8431 C=7322 X=960819413 Y=6143365203 Z=12957586264 M=7217
A=3414 B=5874 C=9518 X=311989433 Y=8849072159 Z=77760041384 M=7101
A=4950 B=4268 C=5366 X=979757230 Y=1254885516 Z=72774473440 M=1852
A=7394 B=6976 C=7520 X=967168414 Y=6265115930 Z=45156189542 M=9915
A=9349 B=4630 C=6879 X=660144102 Y=6421852350 Z=76676346201 M=5275
A=8223 B=7263 C=9843 X=641674077 Y=5104284610 Z=25952431764 M=3048
A=3807 B=4921 C=9208 X=377988204 Y=5178172450 Z=41595504402 M=8796
A=6953 B=9380 C=9481 X=408413690 Y=4937877226 Z=72292020146 M=9967
A=7692 B=5010 C=8804 X=992845017 Y=9684295635 Z=65719114307 M=4360
A=7523 B=7293 C=6266 X=554598921 Y=6116943842 Z=73309017752 M=8188
A=9459 B=4912 C=8463 X=838624181 Y=8605342079 Z=43036109399 M=5715
A=6142 B=9695 C=5156 X=315174022 Y=5080811357 Z=81963775453 M=2915
A=4456 B=4603 C=6495 X=252218264 Y=9141710662 Z=38269453106 M=5951
A=9535 B=4127 C=9910 X=415870925 Y=4997968069 Z=98195521906 M=6538
A=3907 B=7557 C=6516 X=723592597 Y=4110457627 Z=98117950021 M=8400
A=4788 B=6817 C=8985 X=202518087 Y=3837726016 Z=47466301176 M=1272
A=9268 B=9088 C=6221 X=349674584 Y=9869866626 Z=16417035385 M=7319
A=3959 B=7222 C=9987 X=883145492 Y=2382051241 Z=44846397243 M=7279
A=2309 B=7463 C=6603 X=236569993 Y=7120525737 Z=15250911514 M=7937
A=8848 B=9882 C=7885 X=417065536 Y=8105173033 Z=11186759359 M=4930
A=8951 B=6650 C=8001 X=380476955 Y=6812028237 Z=56998527784 M=9533
A=5687 B=8085 C=5522 X=962656681 Y=5639104338 Z=92847712795 M=2902
A=8606 B=3073 C=8681 X=321805738 Y=7719810144 Z=73648689715 M=8294
A=9801 B=7092 C=5867 X=880801765 Y=7801230846 Z=64493967542 M=7747
A=2571 B=8832 C=9562 X=635218127 Y=3911717545 Z=71926115004 M=7428
A=9006 B=3576 C=8626 X=172506218 Y=6331331999 Z=40478883027 M=3010
A=8138 B=8059 C=8903 X=276877256 Y=4818728279 Z=70607702011 M=5350
A=7475 B=6617 C=8612 X=225371975 Y=6395633756 Z=54845552510 M=9658
A=8949 B=5292 C=5405 X=531806058 Y=9997928482 Z=75915579265 M=3736
A=9312 B=6272 C=6450 X=261293919 Y=8213255968 Z=52650270569 M=9769
A=7807 B=8693 C=8454 X=962250141 Y=1938067054 Z=13096656869 M=7708
A=4759 B=5454 C=8158 X=964862923 Y=6814010687 Z=93458171504 M=3843
A=9340 B=8628 C=7916 X=161033130 Y=5691986004 Z=16180886429 M=7211
A=8667 B=3109 C=6225 X=970847921 Y=9029761186 Z=78755791210 M=8842
A=6833 B=9605 C=8643 X=369097928 Y=4984768767 Z=36826895525 M=4659
A=8567 B=3104 C=7834 X=333084446 Y=4530703149 Z=51086582604 M=2690
A=2232 B=5688 C=6092 X=437051774 Y=7947633931 Z=12437384652 M=3275
A=5263 B=6026 C=6901 X=768086811 Y=8531792950 Z=11758336942 M=5958
A=8324 B=5124 C=5770 X=853921308 Y=5086591281 Z=36819809426 M=3801
A=3819 B=4572 C=9213 X=558495128 Y=5474126316 Z=38895972455 M=6093
A=6924 B=4407 C=9850 X=725789270 Y=5186570819 Z=46937489525 M=4458
A=8076 B=7199 C=7862 X=578533386 Y=9876062844 Z=20732686383 M=3601
A=6168 B=8819 C=7166 X=833847161 Y=6504708450 Z=48819650390 M=2118
A=9817 B=8493 C=8063 X=583235049 Y=1009744653 Z=22592200674 M=8144
A=2203 B=7741 C=6119 X=248146039 Y=1370483017 Z=57890555899 M=6226
A=5335 B=9080 C=5642 X=508327669 Y=3452526233 Z=24593202653 M=5431
A=7401 B=7511 C=8581 X=316441247 Y=7662986272 Z=10101487819 M=2860
A=9469 B=4976 C=5312 X=609441083 Y=5815022484 Z=53536360201 M=1178
A=7502 B=7408 C=7496 X=930900155 Y=3440444000 Z=25374907305 M=8124
A=3838 B=3432 C=9754 X=697286848 Y=2366057943 Z=29764258633 M=2258
A=3820 B=9980 C=6857 X=218094547 Y=6757889512 Z=72494792009 M=2326
A=7517 B=5114 C=5223 X=501629076 Y=7248327827 Z=90727343751 M=4565
A=5442 B=7792 C=8155 X=699670014 Y=7371553761 Z=35468720945 M=2062
A=4081 B=3586 C=8424 X=972447852 Y=8118345732 Z=91024113920 M=8348
A=5008 B=6659 C=5811 X=384939330 Y=2423966433 Z=86126878099 M=5141
A=8167 B=3539 C=6071 X=969581492 Y=9973306203 Z=97107950277 M=2148
A=8091 B=8238 C=5104 X=377359711 Y=4815298591 Z=46991250121 M=3991
A=3350 B=7473 C=6866 X=619678550 Y=1718365796 Z=19535475247 M=6662
A=8798 B=8554 C=7177 X=974955505 Y=8623743854 Z=17156583366 M=1524
A=8044 B=3432 C=9922 X=371134041 Y=6938951474 Z=33283145590 M=3838
A=6649 B=6015 C=8719 X=389526688 Y=5973962218 Z=51607445005 M=6360
A=3323 B=7548 C=9766 X=959080580 Y=1010328595 Z=12705318602 M=6444
A=3497 B=6281 C=9960 X=137813434 Y=5135290084 Z=37957975373 M=8569
A=4804 B=9794 C=9486 X=700377537 Y=5279320371 Z=78719992827 M=8523
A=5215 B=8859 C=7630 X=909908930 Y=6920206128 Z=31521640005 M=8748
A=8795 B=8661 C=6946 X=458362309 Y=7096053743 Z=40462018333 M=5849
A=6957 B=5436 C=7299 X=493081954 Y=3030365309 Z=57303994236 M=9523
A=4406 B=3875 C=9030 X=824181198 Y=9590389965 Z=73421953290 M=4235
A=6237 B=8081 C=7562 X=411932587 Y=4909577167 Z=38724645654 M=7015
A=9794 B=6054 C=8369 X=554317277 Y=8613614758 Z=89913333107 M=4252
A=8040 B=9307 C=5152 X=189028729 Y=3136719462 Z=82158702818 M=5746
A=2497 B=4905 C=9985 X=442855286 Y=1628095270 Z=64171017570 M=5729
A=5640 B=4086 C=5913 X=148719480 Y=8872325448 Z=89483313178 M=5439
A=2711 B=9282 C=5828 X=204851903 Y=7089743684 Z=24243547690 M=2320
A=7240 B=8462 C=8375 X=944178162 Y=9767571677 Z=18639481534 M=1801
A=8954 B=8067 C=5214 X=390888937 Y=1216472530 Z=75948876804 M=3206
A=4167 B=5952 C=9786 X=825016509 Y=2021607379 Z=31880837813 M=3670
A=9640 B=5512 C=8404 X=106609324 Y=8383592503 Z=91146394388 M=9714
A=6392 B=5616 C=5040 X=937742669 Y=5942643672 Z=77394713085 M=8195
A=8252 B=4700 C=6626 X=566906003 Y=6282471007 Z=81284849033 M=9024
A=6470 B=9480 C=7382 X=936748567 Y=9893173231 Z=36221656869 M=9221
A=7849 B=5289 C=8933 X=933637516 Y=3457044095 Z=33250289065 M=3065
A=3207 B=4313 C=8138 X=693059534 Y=9823364373 Z=61086427694 M=6139
A=4888 B=8628 C=6468 X=575476069 Y=3416881778 Z=85694353034 M=1358
A=6333 B=8155 C=7080 X=858170521 Y=6008618516 Z=97891837744 M=9253
A=3206 B=3078 C=8654 X=932915247 Y=5460948357 Z=72659120627 M=1515
A=3509 B=8181 C=9913 X=394890139 Y=5725286612 Z=63476334738 M=9965
A=6615 B=3695 C=7475 X=236469237 Y=7046394356 Z=79004927335 M=7726
A=6458 B=7030 C=5725 X=867256435 Y=3330167414 Z=54566894159 M=9370
A=7897 B=7986 C=7033 X=956590346 Y=1246387386 Z=13322057300 M=7219
A=4221 B=6614 C=5099 X=405501504 Y=1554590390 Z=27076204025 M=3444
A=4748 B=5095 C=6830 X=816319932 Y=3034423119 Z=42540957267 M=8665
A=9535 B=5868 C=6370 X=562201741 Y=7895133201 Z=72833983475 M=6312
A=3099 B=9809 C=7788 X=361824017 Y=2691635314 Z=37999448473 M=4073
A=6344 B=5190 C=5436 X=367074534 Y=2316174658 Z=64055930915 M=8813
A=6949 B=3750 C=9240 X=251242200 Y=4082507751 Z=38349754017 M=4990
A=8086 B=8541 C=8492 X=430267836 Y=9016906569 Z=87349712062 M=7892
A=2807 B=7333 C=5195 X=130236932 Y=6815753198 Z=52471237769 M=5958
A=6898 B=9840 C=9299 X=225039917 Y=3017888544 Z=19449002667 M=2426
A=6153 B=6219 C=5221 X=565241908 Y=8005753271 Z=94220638359 M=1255
A=3064 B=8693 C=7713 X=506088428 Y=2777048395 Z=95815004396 M=1778
A=9217 B=5154 C=5125 X=853220974 Y=2556465273 Z=91206029091 M=5312
A=2705 B=4388 C=6984 X=493981362 Y=1615821733 Z=21607155988 M=8998
A=7729 B=4134 C=7886 X=600872714 Y=1312724532 Z=50260500886 M=8906
A=6877 B=3265 C=5978 X=279159636 Y=6018257308 Z=42786261015 M=2200
A=4882 B=6683 C=9487 X=797466243 Y=2911131863 Z=51476796352 M=7147
A=6761 B=3795 C=5267 X=753207484 Y=5502155213 Z=69561068869 M=3403
A=6041 B=8304 C=9133 X=181102387 Y=9851710428 Z=96090945422 M=7177
A=8495 B=3471 C=5756 X=852089226 Y=3409730161 Z=67479775559 M=6904
A=6657 B=6516 C=6355 X=639708541 Y=8137208080 Z=57681031120 M=9392
A=2346 B=4574 C=7265 X=812022806 Y=3624693645 Z=41046650180 M=7566
A=7062 B=5337 C=6323 X=638714937 Y=5609854491 Z=11642204369 M=2345
A=4704 B=3389 C=5111 X=479817002 Y=1423656288 Z=21640353909 M=3788
A=2607 B=5632 C=6081 X=880622287 Y=4741716953 Z=38278030643 M=3023
A=2186 B=3157 C=7301 X=906336175 Y=5482072420 Z=62395205499 M=9133
A=2865 B=5698 C=5390 X=905529792 Y=3602989505 Z=75921573168 M=4373
A=9838 B=6576 C=6443 X=135281879 Y=7573288029 Z=75133342876 M=1489
A=7062 B=3900 C=9674 X=195256621 Y=9265930541 Z=50896413075 M=8812
A=7351 B=8053 C=8669 X=793580822 Y=3721446840 Z=87002762945 M=2739
A=4745 B=8119 C=8344 X=599330937 Y=3545428289 Z=82389482350 M=4793
A=2224 B=4470 C=5294 X=565419300 Y=9559575723 Z=92074183123 M=6839
A=6441 B=6975 C=7342 X=261936760 Y=5367267871 Z=42137884694 M=6282
A=5958 B=8692 C=9631 X=471134596 Y=3053792765 Z=90126905836 M=4398
A=6383 B=3708 C=6510 X=877972494 Y=8623252979 Z=58574717464 M=7648
A=8058 B=8313 C=8944 X=921757906 Y=1973720580 Z=59281872312 M=9833
A=3402 B=3278 C=6256 X=705446095 Y=5521144882 Z=52005013508 M=9855
A=2619 B=8654 C=8100 X=752176856 Y=3088041372 Z=61119091676 M=5316
A=4662 B=4198 C=8393 X=127628875 Y=5689788899 Z=36427934096 M=1525
A=4687 B=9334 C=8853 X=243436242 Y=2156908032 Z=87891004590 M=9290
A=4017 B=8342 C=8704 X=890780944 Y=7785120485 Z=74944260076 M=9518
A=2465 B=4458 C=9238 X=222118200 Y=3174258895 Z=59424699534 M=7111
A=9297 B=7332 C=7672 X=104450744 Y=5096063036 Z=86373472965 M=1145
A=9268 B=9758 C=5799 X=430380434 Y=3424365158 Z=67203145531 M=9569
A=6768 B=4600 C=7923 X=337047353 Y=5385759863 Z=43479797306 M=8343
A=5619 B=7579 C=8730 X=321971751 Y=7619221367 Z=20429432210 M=7697
A=4901 B=7304 C=9485 X=284790437 Y=2708011472 Z=76175987662 M=2740
A=3064 B=4804 C=5912 X=584992240 Y=4216066135 Z=71271878864 M=6889
A=2293 B=4737 C=6519 X=249423382 Y=5153760202 Z=33060987451 M=6197
A=2187 B=3654 C=5237 X=500529407 Y=6536181432 Z=26782000733 M=6632
A=6391 B=8404 C=9053 X=204968490 Y=5481959083 Z=45986879628 M=9760
A=6955 B=6353 C=6156 X=832911078 Y=3204656458 Z=39258446967 M=6976
A=7014 B=8779 C=7499 X=728476258 Y=2495129131 Z=25768500155 M=2550
A=3011 B=5799 C=5814 X=308813620 Y=4993140748 Z=81753173109 M=5532
A=4073 B=4446 C=8818 X=363649618 Y=6479750444 Z=43128305739 M=6093
A=6911 B=6766 C=8044 X=734356768 Y=9485929840 Z=99615150864 M=6068
A=3791 B=6070 C=9246 X=591564029 Y=7042993850 Z=34317695198 M=7092
A=6318 B=7708 C=5668 X=417598321 Y=7220907630 Z=29113572697 M=9933
A=7137 B=3582 C=7265 X=277391802 Y=2972035826 Z=49097387827 M=8973
A=5476 B=9517 C=6696 X=355774869 Y=1819257824 Z=71431860409 M=2162
A=8705 B=7523 C=9593 X=331016852 Y=2863106592 Z=85658254691 M=9945
A=2446 B=4517 C=8251 X=610624804 Y=3244634791 Z=97398224449 M=5865
A=7350 B=7591 C=8316 X=492143579 Y=6571048581 Z=83834441465 M=2114
A=2468 B=9057 C=9749 X=715006584 Y=7494184904 Z=81430548374 M=7990
A=5701 B=3733 C=7748 X=810028045 Y=5006951538 Z=27479560170 M=4995
A=4037 B=3765 C=7305 X=648841671 Y=7561954209 Z=17310443918 M=5366
A=8113 B=9239 C=7825 X=474041692 Y=9823421656 Z=41465684079 M=2593
A=9702 B=4299 C=6685 X=428910201 Y=4389799738 Z=93544245536 M=1818
A=7168 B=7602 C=8310 X=504139742 Y=7585193053 Z=59788251429 M=5020
A=2517 B=5177 C=6675 X=450285960 Y=1833378422 Z=99850616397 M=5079
A=2109 B=9578 C=5964 X=598247825 Y=5807076761 Z=17375998814 M=3737
A=3636 B=5558 C=5264 X=637678296 Y=7905411242 Z=32877895729 M=9743
A=6022 B=6379 C=9613 X=258123234 Y=2812019123 Z=27195508269 M=9632
A=5194 B=5256 C=5105 X=429504496 Y=3130441566 Z=27788356532 M=4154
A=3061 B=9706 C=6781 X=680739359 Y=4497359662 Z=56174907287 M=5902
A=2145 B=3500 C=9198 X=392752272 Y=7595697498 Z=18902318806 M=6225
A=7824 B=4291 C=5556 X=506485134 Y=1197309919 Z=70215982625 M=7222
A=2471 B=8505 C=8957 X=561564457 Y=2247985101 Z=94957848452 M=5140
A=3537 B=4807 C=9264 X=649675741 Y=5246461871 Z=95653189419 M=7678
A=3299 B=6217 C=7712 X=100666565 Y=3091426242 Z=22751829268 M=3504
A=8485 B=9156 C=5630 X=408130483 Y=4872239077 Z=41481625605 M=4067
A=8751 B=8737 C=8828 X=218934460 Y=8244604061 Z=57041285555 M=1192
A=5808 B=7043 C=8017 X=995597400 Y=6719554324 Z=34174282985 M=8587
A=2785 B=5929 C=7025 X=274998416 Y=4297005653 Z=18138463342 M=4169
A=9265 B=3599 C=9197 X=552502052 Y=5272272360 Z=15136983746 M=5576
A=8807 B=5414 C=8465 X=204183819 Y=4103712280 Z=35849044299 M=3438
A=2440 B=4543 C=7259 X=176364418 Y=7164548926 Z=72001517333 M=4253
A=2422 B=4828 C=8774 X=730028977 Y=3768119983 Z=81267064889 M=6446
A=5809 B=8403 C=6163 X=638290421 Y=6728933394 Z=26515927830 M=1512
A=6704 B=3158 C=6139 X=558363809 Y=6357832482 Z=14432304317 M=2431
A=3272 B=9959 C=9605 X=476453948 Y=1930833910 Z=21277481500 M=5726
A=4843 B=7223 C=8934 X=371142201 Y=9300211077 Z=49138026905 M=2562
A=5840 B=4478 C=9925 X=968490869 Y=2110069734 Z=81880850614 M=4420
A=5013 B=4692 C=7688 X=589297402 Y=9443726623 Z=52937282274 M=5311
A=4190 B=7840 C=8264 X=441046000 Y=9904002659 Z=88675294536 M=4527
A=4033 B=5997 C=7547 X=243403905 Y=8128374920 Z=75399661931 M=3587
A=4294 B=3919 C=5250 X=384470298 Y=2626343364 Z=50529223294 M=7132
A=2123 B=8007 C=5198 X=845691418 Y=5645647913 Z=16048047801 M=2562
A=2977 B=8705 C=5525 X=696455625 Y=8721801695 Z=52802328462 M=5868
A=6976 B=9967 C=6347 X=777994954 Y=7360412244 Z=78588577976 M=4943
A=3104 B=7399 C=9537 X=226179119 Y=4731295199 Z=18628474368 M=8574
A=2112 B=3352 C=8710 X=519707028 Y=5138889890 Z=34288624236 M=5189
A=6486 B=8074 C=9182 X=346254464 Y=5484880947 Z=25395055500 M=3499
A=8968 B=8565 C=5313 X=134495940 Y=6705221527 Z=44630990171 M=3815
A=6676 B=5040 C=9094 X=718706410 Y=6192931239 Z=84606918405 M=1829
A=9477 B=8806 C=5413 X=557019155 Y=5727102619 Z=78727619999 M=2611
A=7323 B=5906 C=6445 X=430298227 Y=3090922320 Z=73570977374 M=4449
A=4894 B=5526 C=8528 X=236052129 Y=9238409242 Z=48165683669 M=1325
A=2757 B=7023 C=8714 X=429236946 Y=9081722142 Z=46478014826 M=5358
A=4769 B=6046 C=8363 X=972639053 Y=1314979030 Z=87642039777 M=8674
A=7884 B=5866 C=8036 X=195897649 Y=9669587000 Z=36893822764 M=5001
A=6306 B=8363 C=9947 X=361630653 Y=7837406169 Z=10586474649 M=5437
A=4403 B=4747 C=9816 X=624744100 Y=1214864443 Z=85635080812 M=7477
A=9789 B=8380 C=6099 X=992317287 Y=6504493457 Z=76419109151 M=6001
A=6039 B=6517 C=7709 X=256151478 Y=3039941244 Z=21248936860 M=7510
A=2343 B=7598 C=5604 X=751240798 Y=1583825824 Z=68914131458 M=1006
A=4367 B=5116 C=8061 X=115109077 Y=6852368536 Z=48089553290 M=2889
A=5689 B=8077 C=9739 X=599417022 Y=8804768629 Z=37743636667 M=8944
A=4633 B=9838 C=9736 X=480429664 Y=9536735851 Z=43626493139 M=6625
A=4355 B=9263 C=8585 X=901226101 Y=1446469717 Z=53252531110 M=7571
A=2482 B=5392 C=6427 X=402217198 Y=7563098036 Z=48092538649 M=7389
A=9460 B=8151 C=5133 X=445335962 Y=1086405320 Z=61759780142 M=8079
A=8279 B=5570 C=7450 X=276134017 Y=4640727955 Z=59098042953 M=6237
A=9215 B=5676 C=6736 X=900578227 Y=2350093173 Z=55501203926 M=3048
A=4878 B=7967 C=7331 X=642803102 Y=1583407690 Z=26159734622 M=2892
A=6191 B=5732 C=8051 X=918209480 Y=2150129678 Z=40170705549 M=7215
A=3878 B=3331 C=8696 X=637090215 Y=7190162040 Z=96957655660 M=6959
A=7155 B=4378 C=5826 X=983510585 Y=7401764719 Z=38200675022 M=7278
A=3931 B=4559 C=5015 X=255416053 Y=9889333903 Z=21582133757 M=2418
A=4636 B=5301 C=7008 X=900537002 Y=4408148686 Z=23349557815 M=1377
A=6551 B=5497 C=8484 X=925300470 Y=6126437545 Z=48713563377 M=4977
A=6798 B=3047 C=6436 X=465490607 Y=7462357121 Z=62832519715 M=1117
A=3265 B=7986 C=8374 X=698132807 Y=8475276085 Z=67416192922 M=3971
A=7778 B=3562 C=8193 X=194689662 Y=1024410715 Z=90445807135 M=3065
A=9037 B=5191 C=7632 X=867739849 Y=9024684288 Z=66783325522 M=7725
A=5388 B=4532 C=6399 X=508516477 Y=3523896213 Z=75463275947 M=2329
A=3146 B=7593 C=7992 X=161328746 Y=7779980572 Z=13342484788 M=5272
A=5829 B=9803 C=7316 X=440070015 Y=6108947849 Z=41685360575 M=2062
A=6884 B=6852 C=6437 X=785356831 Y=5688801542 Z=46422490465 M=3413
A=4590 B=8891 C=7194 X=220962632 Y=4669510847 Z=85400049051 M=7287
A=5546 B=6072 C=9395 X=163265533 Y=1677842184 Z=64004009054 M=7764
A=4565 B=7381 C=8833 X=847498065 Y=2704393189 Z=42243372669 M=9378
A=9726 B=7518 C=5814 X=562460863 Y=8014657956 Z=33633368115 M=5131
A=4254 B=8440 C=7482 X=190613713 Y=8065577157 Z=90683017363 M=1448
A=5934 B=8857 C=7223 X=784364197 Y=4045323737 Z=30513127324 M=5765
A=5338 B=5839 C=5118 X=105716976 Y=5812288411 Z=31371972806 M=5819
A=7118 B=6075 C=8046 X=317636778 Y=4049763356 Z=53253611663 M=9861
A=7234 B=3237 C=9008 X=958423301 Y=3283530036 Z=12556558015 M=8041
A=7424 B=4668 C=7537 X=779476355 Y=2046404759 Z=46114379233 M=1425
A=9983 B=8921 C=9898 X=191620042 Y=5499794860 Z=99338267863 M=9595
A=4363 B=9768 C=9989 X=450089499 Y=6549608666 Z=71531875049 M=9051
A=9867 B=3090 C=6894 X=442081696 Y=4148782073 Z=39249018065 M=3886
A=4616 B=4483 C=9312 X=335230375 Y=4147990769 Z=35261796157 M=7270
A=6957 B=6880 C=6555 X=288053656 Y=3372386773 Z=52600876325 M=8529
A=6788 B=8649 C=7740 X=318999477 Y=8680879618 Z=65033025667 M=9445
A=8992 B=7936 C=6982 X=857141404 Y=9107973739 Z=30501433007 M=5162
A=7583 B=8263 C=9976 X=651004628 Y=5968706255 Z=20474710769 M=4703
A=3655 B=4754 C=7787 X=940310477 Y=3877658136 Z=23942759656 M=3751
A=8504 B=7306 C=5475 X=611313206 Y=5062422533 Z=35147842391 M=1484
A=7222 B=5787 C=7422 X=621103483 Y=2392906593 Z=37431024194 M=9438
A=9914 B=4185 C=6319 X=109136894 Y=3894788300 Z=41105120225 M=6952
A=8916 B=4867 C=8933 X=909402635 Y=8066381486 Z=96324347749 M=8889
A=3668 B=7212 C=9075 X=367582756 Y=6718769479 Z=10630668677 M=3305
A=2655 B=3157 C=8710 X=395373650 Y=8702777117 Z=74718393040 M=9344
A=2937 B=8144 C=8117 X=996475753 Y=8151553542 Z=12015907373 M=6259
A=2050 B=6161 C=8050 X=870601563 Y=2746438413 Z=68990313782 M=3397
A=4885 B=3830 C=8781 X=910580960 Y=4402593677 Z=19087119381 M=8075
A=2997 B=7203 C=7304 X=540895237 Y=4264982882 Z=70719996860 M=3679
A=7666 B=3767 C=8174 X=294228969 Y=1718291878 Z=64205305519 M=2931
A=5021 B=4566 C=8139 X=302877634 Y=1696071274 Z=13502627618 M=4265
A=8179 B=3496 C=9162 X=238765735 Y=6935694653 Z=85216779436 M=5570
A=8058 B=7782 C=9156 X=516473686 Y=4197761097 Z=72610968300 M=6889
A=9976 B=6345 C=5465 X=891455090 Y=8127267468 Z=46603745923 M=9670
A=2669 B=5544 C=7939 X=257078961 Y=5499934303 Z=64714737048 M=5071
A=8944 B=3342 C=5225 X=125682877 Y=9980492906 Z=55252049144 M=7647
A=6611 B=5900 C=6184 X=740880278 Y=6251343029 Z=81604368803 M=3419
A=4233 B=6330 C=5534 X=435597904 Y=6399529811 Z=83836209161 M=7261
A=2216 B=3865 C=7464 X=925439120 Y=4445592783 Z=17826514054 M=1856
A=5913 B=6147 C=7747 X=982595202 Y=4641477692 Z=72374283727 M=7636
A=9202 B=4100 C=8173 X=390663249 Y=5850061661 Z=86420121220 M=1596
A=4192 B=9501 C=7672 X=913645267 Y=5789977436 Z=81973800422 M=1387
A=8917 B=4683 C=7443 X=220033799 Y=1406884329 Z=17995998178 M=4954
A=5468 B=4074 C=7173 X=730130549 Y=3891900238 Z=72745926812 M=8966
A=7079 B=4471 C=5567 X=892096397 Y=8209621135 Z=90873603359 M=2604
A=6308 B=3109 C=8826 X=505524024 Y=5595693792 Z=69729517086 M=4562
A=2674 B=4467 C=8863 X=960885281 Y=9830784673 Z=15617613476 M=2462
